Model,Num_Params,Size_MB,RAM_Model_MB,RAM_Peak_MB,Latency_Avg_ms,Latency_Min_ms,Latency_Max_ms,Latency_Std_ms,FLOPs,LFW_%,CALFW_%,CPLFW_%,AgeDB_30_%,Avg_Acc_%,Efficiency_Score
mobilenetv1_0.25_mcp,358992,1.39,12.6,14.4,1.23,1.17,2.35,0.14,702432,98.75,91.97,82.38,90.05,90.79,77.41
mobilenetv1_018,224856,0.87,0.1,1.5,1.58,1.10,5.76,1.00,437088,94.48,82.02,73.01,79.79,82.33,74.8
mobilenetv2_mcp,2264864,8.67,5.4,14.6,4.04,3.69,6.52,0.41,4462464,99.55,94.80,86.93,95.17,94.11,32.39
mobilenetv3_small_mcp,1247048,4.79,0.2,1.7,1.95,1.45,5.92,0.72,2470288,99.30,93.75,85.33,92.72,92.78,47.48
